Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples);P. falciparum Newbold mRNA Seq data - 0 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 8 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 16 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 24 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 32 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 40 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 48 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 0 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 8 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 16 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 24 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 32 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 40 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 48 hours - nonunique (Pf3D7 blood stage RNAseq)
PF3D7_0407000;PF3D7_0407000.1;conserved Plasmodium protein, unknown function;25.3;67.2;47.59;48.84;14.62;26.09;27;18.32;15.08;66.8;68;24.66;45.27;24.74;19.71;16.63
PF3D7_0407100;PF3D7_0407100.1;methyltransferase, putative;30;61.3;38.75;34.09;11.66;36.79;44.75;26.32;18.34;39.21;38.66;11.4;47.42;54.84;30.75;29.11
PF3D7_0407200;PF3D7_0407200.1;peptidyl-tRNA hydrolase 2, putative;70;89.7;59.48;83.69;40.03;238.62;115.38;92.53;135.38;136.78;151.39;83.62;327.48;127.5;88.22;104.49
PF3D7_0407300;PF3D7_0407300.1;transcription factor, putative;14.8;89.3;184.55;160.24;73.39;71.28;12.42;8.43;15.26;138.46;130.16;60.34;47.98;19.02;14.11;12.62
PF3D7_0407400;PF3D7_0407400.1;conserved Plasmodium protein, unknown function;72.7;91.1;104.41;97.21;106.26;279.74;106.41;118.17;83.24;77.09;66.25;75.01;168.23;86.05;70.38;43.27
PF3D7_0407500;PF3D7_0407500.1;mitochondrial carrier protein, putative;3.7;51.8;10.53;10.82;8.28;36.7;34;12.42;1.61;9.47;12.12;10.28;20.44;27.4;7.93;6.73
PF3D7_0407600;PF3D7_0407600.1;conserved Plasmodium protein, unknown function;6.9;10.6;0.9;0.97;0.76;2.45;1.64;3.9;6.06;1.28;1.9;0.81;2.16;3.73;4.23;6.23
PF3D7_0407700;PF3D7_0407700.1;conserved Plasmodium protein, unknown function;24.1;66.4;18;15.06;3.3;9.88;16.51;57.66;63.5;21.26;16.74;3.81;8.43;14.98;68.74;71.83
PF3D7_0407800;PF3D7_0407800.1;conserved Plasmodium protein, unknown function;27.3;87.2;140.36;90.1;21.66;11.88;55.89;178.96;173.64;103.07;63.54;15.93;8.84;40.27;159.49;158.33
PF3D7_0407900;PF3D7_0407900.1;AAA family ATPase, putative;56.2;83.6;41.48;49.37;18.05;53.28;53.7;132.61;144.86;48.94;54.06;19.22;44.02;36.85;148.08;143.34
PF3D7_0408000;PF3D7_0408000.1;conserved Plasmodium protein, unknown function;32.3;92.7;85.84;53.65;7.55;56.66;17.38;294.86;281.29;97.13;51.88;6.96;21.88;12.6;126.43;121.7
PF3D7_0408100;PF3D7_0408100.1;conserved Plasmodium protein, unknown function;18.8;59.8;25.83;33.25;11.9;7.18;7.99;19.89;22.93;26.84;30.88;11.44;7.8;8.25;19.11;23.11
PF3D7_0408200;PF3D7_0408200.1;conserved Plasmodium protein, unknown function;9.6;35.2;6.44;10.08;4.47;4.76;4.8;5.43;7.86;7.61;9.77;4.19;5.76;4.11;8.97;5.42
PF3D7_0408300;PF3D7_0408300.1;zinc finger Ran-binding domain-containing protein 2, putative;39.3;73.2;27.47;42.68;48.39;78.6;31.77;25.48;31.95;28.4;45.95;49.84;71.79;23.98;22.32;19.57
PF3D7_0408400;PF3D7_0408400.1;conserved protein, unknown function;18.7;43.6;11.59;4.16;2.75;8.08;29.56;18.62;16.87;12.45;6.23;2.54;17.24;25.87;15.68;15.16
PF3D7_0408500;PF3D7_0408500.1;flap endonuclease 1;26.6;63.2;13;6.71;4.69;12.59;60.7;48.23;41.86;19.46;8.74;5.98;13.78;83.99;46.67;50.17
PF3D7_0408600;PF3D7_0408600.1;sporozoite invasion-associated protein 1;13.1;33.5;6.11;6.58;3.01;4.73;12.14;20.59;18.65;9.42;8.21;3.98;4.09;14.6;17.17;15.22
PF3D7_0408700;PF3D7_0408700.1;perforin-like protein 1;7.3;18.2;1.73;0.93;0.66;4.52;5.91;4.01;7.99;2.45;1.37;0.9;3.43;4.91;8.6;8.49
PF3D7_0408800;PF3D7_0408800.1;conserved Plasmodium protein, unknown function;0;27.2;0;3.11;1.17;2.68;12.61;6.42;9.69;0.33;3.32;1.03;0.83;3.74;5.26;6.41
PF3D7_0408900;PF3D7_0408900.1;tRNA N6-adenosine threonylcarbamoyltransferase;21;69.4;7.62;4.81;2.67;47.01;76.1;49.69;30;13.82;7.11;4.7;53.34;89.39;43.52;39.5
PF3D7_0408900;PF3D7_0408900.2;tRNA N6-adenosine threonylcarbamoyltransferase;21;69.4;7.62;4.81;2.67;47.01;76.1;49.69;30;13.82;7.11;4.7;53.34;89.39;43.52;39.5
PF3D7_0409000;PF3D7_0409000.1;conserved Plasmodium protein, unknown function;10.3;26.1;8.52;4.36;1.37;3.46;8.15;11.06;12.16;7.59;4.05;1.23;2.62;8.74;12.94;15.09
PF3D7_0409100;PF3D7_0409100.1;U4/U6 small nuclear ribonucleoprotein PRP31, putative;66.7;88.5;170.7;150.08;82.87;119.59;98.71;64.46;67.54;149.96;135.2;75.67;112.54;88.72;70;53.77
PF3D7_0409200;PF3D7_0409200.1;protein SOF1, putative;64.8;93.5;284.18;246.72;246.95;228.97;136.16;60.2;68.47;245.32;214.3;199.4;224.85;139.05;81.6;96.18
PF3D7_0409300;PF3D7_0409300.1;methyltransferase, putative;38.2;79;43.81;73.98;69.17;70.41;45.34;28.09;24.84;41.41;74.03;63.61;84.66;43.05;27.78;25.78
PF3D7_0409400;PF3D7_0409400.1;chaperone protein DnaJ;32.7;81.9;40.09;58.63;82.97;113.33;79.95;20.1;24.57;33.71;50.23;76.64;122.62;82.23;28.05;31.1
PF3D7_0409500;PF3D7_0409500.1;NAD(P)-binding protein, putative;56.2;90.3;62.13;27.55;18.13;69.03;257.22;186.42;153.49;57.64;29.99;16.36;58.56;307.52;164.26;165.85
PF3D7_0409600;PF3D7_0409600.1;replication protein A1, large subunit;58.1;76.9;48.67;30.15;28.81;63.96;107.82;71.99;79.09;40.4;24.27;24.5;59.11;79.74;74.72;73.77
PF3D7_0409700;PF3D7_0409700.1;peptide chain release factor 2;30.2;73.8;22.43;8.05;12.37;45.63;61.32;62.42;87.94;30.14;12.38;12.84;59.24;71.71;73.57;78.95
PF3D7_0409800;PF3D7_0409800.1;zinc finger protein, putative;78.7;96.2;450.32;537.5;324.31;147.12;119.36;130.31;154.17;320.65;373.8;228.04;149.05;93.35;111.69;117.46
PF3D7_0409900;PF3D7_0409900.1;actin-like protein, putative;10.9;62.6;7.43;4.24;3.11;10.16;2.39;55.13;52.87;13.11;8.56;3.91;10.07;6.14;52.15;56.35
PF3D7_0410000;PF3D7_0410000.1;erythrocyte vesicle protein 1;42.4;92.3;120.86;202.91;208.86;89.93;27.48;176.75;197.54;128.23;209.2;200.68;117.84;22.91;193.93;200.95
PF3D7_0410100;PF3D7_0410100.1;tRNA Serine;0;27.9;0;7.18;0;0;0;0;0;3.77;3.84;0;0;0;0;0
PF3D7_0410200;PF3D7_0410200.1;tRNA Isoleucine;0;38.6;0;8.07;0;0;0;0;25.17;0;4.31;0;0;0;6.21;5.55
PF3D7_0410300;PF3D7_0410300.1;protein phosphatase PPM1, putative;33.3;65.9;37.58;36.15;31.7;38.31;26.37;26.09;20.93;39;40.86;29.28;38.98;29.97;23.31;23.67
PF3D7_0410400;PF3D7_0410400.1;exosome complex component RRP4;38.9;78.7;48.39;44.59;49.25;108.74;61.73;31.92;25.29;48.37;54.19;58.1;105.84;52.87;24.5;29.08
PF3D7_0410500;PF3D7_0410500.1;conserved Plasmodium protein, unknown function;0;43.1;5.11;14.68;4.33;0;0;6.32;5.72;5.78;10.3;3.05;2.86;5.52;6.35;3.79
PF3D7_0410600;PF3D7_0410600.1;conserved protein, unknown function;44.1;89.3;19.51;31.22;31.2;231.94;100.56;101.33;140.47;37.53;61.96;54.91;260.66;146.96;108.53;117.29
PF3D7_0410700;PF3D7_0410700.1;ribosome biogenesis GTPase A, putative;29.6;73.8;32.23;24.51;17.63;13.58;26.42;79.95;87.97;32.13;24.94;15.87;18.57;37.65;90.11;89.09
PF3D7_0410800;PF3D7_0410800.1;conserved Plasmodium protein, unknown function;53.7;87.6;43.5;36.27;28.7;39.14;79.01;176.99;189.53;50.17;38.95;31.08;41.97;64.74;164.15;167.17
PF3D7_0410900;PF3D7_0410900.1;conserved Plasmodium protein, unknown function;26.8;68.5;25.53;52.19;36.99;24.7;12.23;16.59;16.28;22.46;36.6;29.26;20.94;26.38;20.54;18.92
PF3D7_0411000;PF3D7_0411000.1;conserved Plasmodium protein, unknown function;32.9;97.2;111.97;359.15;649.67;84.69;24.1;20.23;21.83;92.88;278.58;515.16;73.81;22.57;18.55;18.91
PF3D7_0411100;PF3D7_0411100.1;mediator of RNA polymerase II transcription subunit 8, putative;25;69.2;29.2;14.3;9.91;71.99;53.21;32.83;14.86;28.53;23.44;17.43;72.22;85.09;65.24;63.59
PF3D7_0411200;PF3D7_0411200.1;PP-loop family protein, putative;15.2;34.8;3.66;5.36;4.47;18.02;16.79;11.94;12.78;4.39;5.64;4.89;21.42;13.28;14.06;11.6
PF3D7_0411300;PF3D7_0411300.1;conserved Plasmodium protein, unknown function;17.5;41.1;5.04;3.8;2.57;19.34;26.19;16.83;14.4;7.56;5.23;2.86;20.09;35.14;20.68;23.91
PF3D7_0411400;PF3D7_0411400.1;DEAD box ATP-dependent RNA helicase, putative;17.9;57.2;5.59;17.15;19.33;32.79;13.74;12.95;10.32;6.64;18.26;16.43;34.6;14.94;11.57;10.87
PF3D7_0411500;PF3D7_0411500.1;tRNA Alanine;0;30.5;0;8.18;0;0;0;0;0;0;4.37;0;0;0;6.29;5.63
PF3D7_0411600;PF3D7_0411600.1;tRNA Glutamic acid;0;0;0;0;0;0;0;0;0;4.3;0;0;0;0;0;0
PF3D7_0411700;PF3D7_0411700.1;conserved Plasmodium protein, unknown function;0;15.7;3.93;2.82;1.33;0;0;4.86;4.41;5.19;6.04;0.78;1.26;2.83;3.26;5.83
PF3D7_0411800;PF3D7_0411800.1;conserved Plasmodium protein, unknown function;20.9;43;16.82;9.26;6.92;8.13;28.41;18.93;16.19;18.87;9.47;10.1;8.21;29.51;19.26;20.02
PF3D7_0411900;PF3D7_0411900.1;DNA polymerase alpha catalytic subunit A;34.3;70.1;32.3;18.37;14.35;17.5;77.61;47.37;45.78;27.49;14.98;11.09;14.91;61.77;48.55;48.71
PF3D7_0412000;PF3D7_0412000.1;LITAF-like zinc finger protein, putative;54.2;79.3;54.29;24.7;30.96;39.71;122.79;85.07;95.91;49.91;23.58;23.61;38.87;86.21;72.89;79.05
PF3D7_0412100;PF3D7_0412100.1;30S ribosomal protein S12, mitochondrial, putative;14.1;77.1;3.25;4.08;2.2;26.4;109.4;20.07;34.53;6.43;8.41;2.26;29.6;90;21.96;26.45
PF3D7_0412200;PF3D7_0412200.1;conserved Plasmodium protein, unknown function;35;48.5;14.23;10.02;11.7;30.54;23.94;22.34;22.07;17.65;19.86;14.38;44.15;40.81;28.12;25.14
PF3D7_0412300;PF3D7_0412300.1;phosphopantothenoylcysteine synthetase, putative;29.7;52.6;10.11;10.16;6.17;21.93;31.31;38.75;37.36;13.34;12.22;7.44;22.48;38.23;51.92;46.18
PF3D7_0412400;PF3D7_0412400.1;erythrocyte membrane protein 1, PfEMP1;20.1;69.3;7.59;27.27;38.36;13.42;7.21;16.22;13.58;7.75;23.61;35.7;8.71;3.83;7.72;7.52
PF3D7_0412500;PF3D7_0412500.1;Plasmodium RNA of unknown function RUF6;0;29.7;0;0;4.12;0;0;0;0;2.29;0;2.42;0;8.75;0;0
PF3D7_0412600;PF3D7_0412600.1;rifin, pseudogene;0;9;0.53;0;0;1.24;0;3.97;5.39;0.3;0.92;1.6;1.54;0.58;4.43;7.52
PF3D7_0412700;PF3D7_0412700.1;erythrocyte membrane protein 1, PfEMP1;23.3;92.3;40.09;116.34;208.47;58.59;15.75;13.36;13.98;45.41;126.59;216.64;51.29;9.94;12.46;13.52
PF3D7_0412800;PF3D7_0412800.1;Plasmodium RNA of unknown function RUF6;0;0;0;0;0;0;0;0;0;0;7;7.25;23.34;26.26;3.36;9
PF3D7_0412900;PF3D7_0412900.1;erythrocyte membrane protein 1, PfEMP1;3.9;22.3;0.55;3.23;2.65;1.65;0.43;0.88;2.38;16.94;50.61;70.1;17.37;6.39;14.36;14.13
PF3D7_0413000;PF3D7_0413000.1;Plasmodium RNA of unknown function RUF6;0;0;0;0;0;0;0;0;0;0;7;7.25;23.34;21.88;3.36;9
PF3D7_0413100;PF3D7_0413100.1;erythrocyte membrane protein 1, PfEMP1;4.3;20.9;0.47;2.11;2.47;0.18;0.43;2.91;5.26;12.5;39.97;54.76;10.15;6.26;14.21;13.23
PF3D7_0413200;PF3D7_0413200.1;rifin;0;15.3;0.97;0;1.48;2.25;0;3.59;8.12;0.82;1.11;1.15;0.7;0.52;1.6;3.94
PF3D7_0413300;PF3D7_0413300.1;rifin;5.1;19.2;1.05;2.83;2.14;1.22;2.87;5.85;5.29;1.19;2.12;2.2;2.77;0.57;4.35;3.89
PF3D7_0413400;PF3D7_0413400.1;erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene;9.1;46.2;2.59;3.25;3.07;3.01;2.36;20.78;31.85;4.63;4.72;5.66;2.48;6.98;20.35;21.71
PF3D7_0413500;PF3D7_0413500.1;phosphoglucomutase-2;44.4;89.4;72.05;17.24;9.4;32.92;161.58;217.02;211.04;102.08;22.7;11.03;44.35;244.19;336.21;313.9
PF3D7_0413600;PF3D7_0413600.1;26S protease regulatory subunit 6B, putative;84.4;94;144.25;131.88;152.46;213.48;420.88;266.7;264.92;173.97;150.92;161.71;253.41;510.67;322.39;310.3
PF3D7_0413700;PF3D7_0413700.1;lysine decarboxylase-like protein, putative;36;92.7;18.82;10.42;13.13;137.49;338.02;221.41;193.3;62.67;32.52;25.36;143.53;472.92;222.29;187.63
PF3D7_0413800;PF3D7_0413800.1;50S ribosomal protein L10, putative;21;49.9;24.65;9.08;5.94;19.6;24.82;12.03;28.33;21.65;7.1;5.03;12.46;29.44;26.87;26.43
PF3D7_0413900;PF3D7_0413900.1;ubiquitin carboxyl-terminal hydrolase 13, putative;64.8;82.1;44.82;43.68;36.27;82.86;141.18;99.77;107.57;52.41;47.69;45.36;92.94;162.59;117.95;126.83
PF3D7_0414000;PF3D7_0414000.1;structural maintenance of chromosomes protein 3, putative;43.2;61.7;39.54;21.54;14.14;35.49;49.24;29.45;29.24;33.08;18.99;12.85;35.77;71.09;39.46;39.02
PF3D7_0414100;PF3D7_0414100.1;conserved Plasmodium membrane protein, unknown function;14.6;48.1;4.29;2.91;1.5;31.65;24.81;16.38;21.43;9.23;7.06;4.76;50.41;36.85;24.59;26.08
PF3D7_0414200;PF3D7_0414200.1;calmodulin-like protein;13.6;84;9.57;10.31;1.22;13.91;156.99;110.97;108.55;50.77;17.92;6.43;22.4;159.03;133.83;125
PF3D7_0414200;PF3D7_0414200.2;calmodulin-like protein;13.6;84;9.57;10.31;1.22;13.91;156.99;110.97;108.55;50.77;17.92;6.43;22.4;159.03;133.83;125
PF3D7_0414300;PF3D7_0414300.1;Rab5-interacting protein, putative;41.9;94.5;17.74;27.8;24.62;476.21;246.9;137.63;130.07;69.36;91.04;67.41;429.82;425.28;171.06;173.29
PF3D7_0414400;PF3D7_0414400.1;conserved Plasmodium protein, unknown function;0;18.6;1.1;4.15;1.68;2.56;0;2.04;9.25;0.93;3.17;0.99;1.32;0.6;5.02;6.12
PF3D7_0414500;PF3D7_0414500.1;RNA-binding protein, putative;26.1;42.3;8.51;7.01;5.61;17.46;16.42;27.87;26.92;15.3;11.54;10.76;13.22;23.27;19.08;21.52
PF3D7_0414600;PF3D7_0414600.1;acylated pleckstrin-homology domain-containing protein, putative;37.2;82.1;43.25;14.14;6.29;21.54;59.11;131.8;116.78;36.71;11.12;8.3;14.83;41.73;75.51;71.53
PF3D7_0414700;PF3D7_0414700.1;GTP-binding protein, putative;44.4;73.9;30.28;23.92;9.39;48.94;47.3;87.73;71.71;25.13;18.6;9.13;34.48;52.67;83.87;78.64
PF3D7_0414800;PF3D7_0414800.1;conserved Plasmodium protein, unknown function;7;68.4;52.86;30.43;1.86;2.12;4.98;40.57;21.44;37.64;21.52;1.09;2.19;3.94;40.02;29.04
PF3D7_0414900;PF3D7_0414900.1;armadillo-domain containing rhoptry protein;67.6;98.2;289.93;197.74;34.95;69.08;86.65;1021.65;1014.07;363.55;315.69;44.55;62.78;95.62;1127.14;1111.71
PF3D7_0415000;PF3D7_0415000.1;arsenical pump-driving ATPase, putative;82.7;88.7;171.73;166.87;134.24;182.87;207.15;137.02;159.55;182.91;191.45;151.21;188.61;350.37;187.58;183.38
PF3D7_0415100;PF3D7_0415100.1;conserved protein, unknown function;24.8;84.6;68.69;133.25;61.83;55.27;28.88;27.77;14.79;60.28;116.9;50.99;49.89;41.86;32.1;31.32
PF3D7_0415200;PF3D7_0415200.1;conserved Plasmodium protein, unknown function;27.5;47.1;15.07;7.01;5.36;12.45;33.77;18.33;19.1;14.45;7.21;5.31;9.25;26.7;17.47;19.89
PF3D7_0415300;PF3D7_0415300.1;cdc2-related protein kinase 3;32.8;82.5;69.24;95.38;85.97;73.04;39.41;20.19;21.02;63.34;76.62;75.28;70.92;38.51;21.19;20.66
PF3D7_0415400;PF3D7_0415400.1;coatomer subunit zeta, putative;77.9;95.8;466.6;370.1;173.96;111.5;114.42;142.36;161.17;368.58;297.85;133.29;141.53;112.14;166.19;184.8
PF3D7_0415500;PF3D7_0415500.1;nuclear cap-binding protein subunit 2, putative;69.6;85.8;65.93;97.74;70.25;173.09;93.28;71.94;91.21;102.69;140.27;108.82;232.75;90.51;91.25;90.22
PF3D7_0415600;PF3D7_0415600.1;GTP:AMP phosphotransferase;10.2;66.8;8.72;1.71;13.71;46.06;69.32;5.88;10.65;9.42;6.39;12.3;59.36;98.48;21.01;17.03
PF3D7_0415700;PF3D7_0415700.1;conserved Plasmodium protein, unknown function;26.8;90.4;16.18;6.8;4.42;45.86;73.33;191.74;237.28;41.07;29.08;8.72;57.39;105.3;274.25;285.59
PF3D7_0415800;PF3D7_0415800.1;RING zinc finger protein, putative;25.6;75.1;28.51;34.74;4.24;10.64;12.51;91.86;85.29;31.55;37.03;4.35;11.89;15.51;118.61;117.47
PF3D7_0415900;PF3D7_0415900.1;60S ribosomal protein L15, putative;93.7;98.9;326.51;398.36;569.11;2204.98;802.95;351.23;344.87;408.99;502.46;765.46;1947.37;601.37;290.3;312.71
PF3D7_0416000;PF3D7_0416000.1;RNA-binding protein, putative;59.3;75.9;41.17;32.16;39.98;77.44;96.21;88.61;97.14;44.98;32.4;36.21;59.9;65.2;84.1;87.08
PF3D7_0416100;PF3D7_0416100.1;glutamyl-tRNA(Gln) amidotransferase subunit A;42.4;74.1;32.84;14.24;15.93;36.38;53.01;88.31;88.87;36.54;18.66;15.53;40.74;55.01;83.09;94.06
PF3D7_0416200;PF3D7_0416200.1;conserved protein, unknown function;23.6;64.2;20.16;32.09;28.54;28.52;9.58;42.26;44.17;30.24;43.4;34.53;29.03;18.94;49.37;40.25
PF3D7_0416300;PF3D7_0416300.1;DNA helicase MCM9, putative;26.5;37.8;11.56;7.63;4.05;11.27;16.99;23.99;22.56;10.83;7.52;3.79;9.55;20.55;22.46;19.07
PF3D7_0416400;PF3D7_0416400.1;histone acetyltransferase, putative;37.5;73.3;30.52;11.22;10.6;38;53.78;75.67;86.03;36.42;13;14.77;34.8;62.37;80.78;85.75
PF3D7_0416500;PF3D7_0416500.1;repressor of RNA polymerase III transcription MAF1;65.4;95.7;141.62;105.71;35.67;61.93;214.62;464.67;455.4;109.21;69.72;25.39;23.79;86.36;195.16;197.03
PF3D7_0416600;PF3D7_0416600.1;prohibitin-like protein PHBL, putative;32.1;73.7;19.62;8.86;6.44;27.95;93.42;39.91;40.4;24.71;12.39;6.42;51.05;155.24;65.54;74.56
PF3D7_0416700;PF3D7_0416700.1;CDGSH iron-sulfur domain-containing protein, putative;46.7;69.9;46.58;56.71;22.67;51.79;33.21;67.62;68.05;35.52;43.16;16.93;21.39;30.64;50.34;42.02
PF3D7_0416800;PF3D7_0416800.1;small GTP-binding protein sar1;94.3;97.1;365.51;405.87;404.64;518.12;826.05;374.89;390.31;302.96;318.74;406.53;498.78;799.03;276.99;286.19
PF3D7_0416900;PF3D7_0416900.1;conserved Plasmodium protein, unknown function;27.5;58.6;15.72;27.71;20.82;25.53;32.49;19.81;16.68;15.07;26;18.95;26.04;31.7;16.14;17.78
PF3D7_0417000;PF3D7_0417000.1;conserved Plasmodium protein, unknown function;5.3;21.8;0.66;4.98;0.67;3.07;7.22;2.45;11.09;3.36;7.23;1.18;4.76;2.85;4.38;10.76
PF3D7_0417100;PF3D7_0417100.1;mRNA-binding protein PUF2;0;14.6;1.42;0.38;0;2.47;3.87;3.94;4.76;3.2;2.04;0;3.06;3.82;3.23;4.72
PF3D7_0417200;PF3D7_0417200.1;bifunctional dihydrofolate reductase-thymidylate synthase;34.4;92.4;32.03;9.67;7.01;72.36;327.23;151.01;152.86;51.65;21.03;14.47;109.79;404.25;161.68;157.22
PF3D7_0417300;PF3D7_0417300.1;LETM1-like protein, putative;51.3;84.9;55.16;91.44;102.34;67.01;40.95;37.05;41.18;45.08;74.52;83.75;62.66;53.22;41.56;40.36
PF3D7_0417400;PF3D7_0417400.1;conserved Plasmodium protein, unknown function;35.5;65.7;17.26;41;31.59;29.67;20.46;23.27;22.62;17.79;38.53;29.37;28.92;18.85;21.99;21.88
PF3D7_0417500;PF3D7_0417500.1;memo-like protein;31.5;91.8;39.89;8.59;10.62;121.27;271.75;220.85;272.19;53.82;18.38;17.22;137.6;285.81;232.88;217.81
PF3D7_0417600;PF3D7_0417600.1;conserved Plasmodium protein, unknown function;9.3;21.1;4.96;4.86;1.61;3.15;6.17;8.37;6.06;5.36;4.55;2.29;2.71;4.39;7.48;8.36
PF3D7_0417700;PF3D7_0417700.1;conserved Plasmodium protein, unknown function;11.8;42.2;18.09;10.69;2.89;4.12;9.69;11.84;16.68;14.85;8.78;2.96;4.6;6.51;17.92;18.65
PF3D7_0417800;PF3D7_0417800.1;cdc2-related protein kinase 1;49.1;74.5;40.88;22.72;52.21;59.93;71.17;34.78;43.75;28.29;16.05;39.95;45.01;61.62;27.61;33.57
PF3D7_0417900;PF3D7_0417900.1;conserved Plasmodium protein, unknown function;0;16.8;0.48;0.52;1.23;2.81;0;3.59;9.75;1.64;1.25;1.3;2.67;1.57;3.61;5.02
PF3D7_0418000;PF3D7_0418000.1;conserved Plasmodium protein, unknown function;12.3;18;3.13;2.41;1.48;4.33;3.67;9.26;10.39;3.39;2.83;1.36;2.79;2.25;8.67;8.42
PF3D7_0418100;PF3D7_0418100.1;protein SOC1, putative;24.9;70.9;44.67;59.57;39.66;35.54;11.47;14.46;15.61;43.93;57.93;39.38;36.56;15.06;15.77;16.1
PF3D7_0418200;PF3D7_0418200.1;eukaryotic translation initiation factor 3 subunit M, putative;71.6;95.2;222.55;213.67;94.91;536.05;201.6;78.63;103.97;277.24;305.41;159.18;488.24;292.68;131.35;139.45
PF3D7_0418300;PF3D7_0418300.1;conserved Plasmodium protein, unknown function;71.3;94.5;358.14;311.39;246.21;78.09;120.41;86.48;91.28;275.73;215.77;186.63;48.3;47.6;51.4;48.01
PF3D7_0418400;PF3D7_0418400.1;conserved Plasmodium protein, unknown function;37.8;60.3;14.91;17.85;18.55;50.08;36.23;30.74;33.41;16.87;17.18;32.65;50.92;23.28;24.71;24.55
PF3D7_0418500;PF3D7_0418500.1;trafficking protein particle complex subunit 3, putative;49.4;90.2;24.24;37.59;15.79;117.2;254.41;86.32;68.41;44.98;46.9;37.05;118.7;354.09;72.29;93.38
PF3D7_0418600;PF3D7_0418600.1;regulator of chromosome condensation, putative;16.5;57.7;25.91;29.57;3.69;6.32;4.95;37.31;45.96;21.78;23.17;3.52;3.44;2.84;39.25;37.79
PF3D7_0418700;PF3D7_0418700.1;RNA-binding protein NOB1, putative;26.9;78.3;67.16;62.68;65.41;61.7;12.24;21.35;20.41;73.27;69.62;59.18;81.68;16.24;20.14;23.93
PF3D7_0418800;PF3D7_0418800.1;MOLO1 domain-containing protein, putative;0;19;2.78;3.75;2.12;0;3.8;10.32;7.01;4.72;6.01;1.66;4.01;3.76;6.92;7.22
PF3D7_0418900;PF3D7_0418900.1;conserved protein, unknown function;42.7;82.4;33.98;24.23;14.49;25.62;143.06;34.07;43.19;27.79;16.66;13.71;24.03;107.65;31.19;34.7
PF3D7_0419000;PF3D7_0419000.1;conserved Plasmodium protein, unknown function;6.6;23.9;0.83;4.01;2.1;5.76;9.04;13.8;5.55;2.57;3.81;1.73;4.96;4.47;7.88;5.21
PF3D7_0419100;PF3D7_0419100.1;conserved Plasmodium protein, unknown function;16.9;62.5;7.21;3.53;3.34;38.1;35.84;53.51;55.07;11.13;15.86;5.87;36.2;37.55;41.28;43.24
PF3D7_0419200;PF3D7_0419200.1;protein transport protein GOT1, putative;52.5;97.1;41.25;30.09;14.89;253.61;254.56;671.27;607.96;128.72;121.07;43.69;232.52;159.57;448.63;362.76
PF3D7_0419300;PF3D7_0419300.1;conserved Plasmodium protein, unknown function;16.6;80.3;17.34;3.39;2.14;35.41;60.3;118.87;105.9;41.61;12.4;6.59;30.01;139.06;142.75;126.88
PF3D7_0419400;PF3D7_0419400.1;conserved Plasmodium protein, unknown function;15.5;77.4;34.42;9.13;3.53;5.65;27.8;103.36;97.33;35.86;11.67;4.31;6.48;41.25;150.22;153.23
PF3D7_0419500;PF3D7_0419500.1;conserved Plasmodium membrane protein, unknown function;45.3;71.8;61.44;58.49;33.85;28.41;31.54;40.3;51.32;81.04;80.93;41.95;44;56.48;76.21;91.79
PF3D7_0419600;PF3D7_0419600.1;ran-specific GTPase-activating protein 1, putative;66.1;83.1;86.28;46.11;56.77;91.98;99.29;117.91;141.67;113.4;78.45;80.16;100.9;81.3;123.07;130.72
PF3D7_0419700;PF3D7_0419700.1;apical merozoite protein;16.7;93.1;50.32;26.5;1.71;18.2;24.45;265.5;308.1;49.35;28.34;3.67;16.64;30.21;332.6;323.95
PF3D7_0419800;PF3D7_0419800.1;60S ribosomal protein L7ae/L30e, putative;81.2;97.2;458.39;734.75;581.55;253.87;134.54;219.69;222.23;317.21;476.61;383.4;159.52;82.27;152.29;154.99
PF3D7_0419900;PF3D7_0419900.1;phosphatidylinositol 4-kinase, putative;40.3;69.7;29.32;56.21;38.01;31.05;25.33;65.39;60.93;39.54;72.54;46.22;30.78;31.05;73.83;72.81
PF3D7_0420000;PF3D7_0420000.1;zinc finger protein, putative;21.9;75.9;58.99;80.14;52.28;18.73;16.26;15.65;12.72;42.4;56.24;38.29;15.99;10.87;10.12;9.53
