Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples)
PF3D7_0509800;PF3D7_0509800.1;phosphatidylinositol 4-kinase;72.6;87.1
PF3D7_0509900;PF3D7_0509900.1;conserved protein, unknown function;32.4;46
PF3D7_0510000;PF3D7_0510000.1;conserved Plasmodium protein, unknown function;21.1;48.5
PF3D7_0510100;PF3D7_0510100.1;conserved protein, unknown function;43.3;88.7
PF3D7_0510200;PF3D7_0510200.1;peptidyl-prolyl cis-trans isomerase;48.6;62.7
PF3D7_0510300;PF3D7_0510300.1;stripes inner membrane complex protein, putative;11.6;31.1
PF3D7_0510400;PF3D7_0510400.1;PDCD2 domain-containing protein, putative;18.2;59.4
PF3D7_0510500;PF3D7_0510500.1;topoisomerase I;69.7;89.5
PF3D7_0510600;PF3D7_0510600.1;tRNA Leucine;0;10.9
PF3D7_0510700;PF3D7_0510700.1;conserved Plasmodium protein, unknown function;8.6;25.9
PF3D7_0510800;PF3D7_0510800.1;WD repeat-containing protein, putative;9.4;21.4
PF3D7_0510900;PF3D7_0510900.1;small nucleolar RNA snoR04;0;15.8
PF3D7_0511000;PF3D7_0511000.1;translationally-controlled tumor protein homolog;87.7;99.3
PF3D7_0511100;PF3D7_0511100.1;conserved Plasmodium protein, unknown function;27.3;54.1
PF3D7_0511200;PF3D7_0511200.1;stearoyl-CoA desaturase;25.7;88.1
PF3D7_0511300;PF3D7_0511300.1;MORN repeat protein, putative;17.6;50.6
PF3D7_0511400;PF3D7_0511400.1;conserved Plasmodium protein, unknown function;14;37.4
PF3D7_0511500;PF3D7_0511500.1;RNA pseudouridylate synthase, putative;82.9;93.6
PF3D7_0511600;PF3D7_0511600.1;apical rhoptry neck protein;28.1;83.7
PF3D7_0511700;PF3D7_0511700.1;EKC/KEOPS complex subunit CGI121;55.8;78.6
PF3D7_0511800;PF3D7_0511800.1;inositol-3-phosphate synthase;83.8;97.1
PF3D7_0511900;PF3D7_0511900.1;conserved Plasmodium protein, unknown function;13.9;53.5
PF3D7_0512000;PF3D7_0512000.1;prefoldin subunit 6, putative;54.6;91.5
PF3D7_0512100;PF3D7_0512100.1;conserved protein, unknown function;27.2;70.1
PF3D7_0512200;PF3D7_0512200.1;glutathione synthetase;13.7;62.7
PF3D7_0512300;PF3D7_0512300.1;CDK-activating kinase assembly factor MAT1;47;73.5
PF3D7_0512400;PF3D7_0512400.1;conserved Plasmodium protein, unknown function;13.2;53.5
PF3D7_0512450;PF3D7_0512450.1;conserved Plasmodium protein, unknown function, pseudogene;9.1;18.8
PF3D7_0512500;PF3D7_0512500.1;conserved Plasmodium protein, unknown function;33.6;57.2
PF3D7_0512600;PF3D7_0512600.1;ras-related protein Rab-1B;90.2;98.6
PF3D7_0512700;PF3D7_0512700.1;orotate phosphoribosyltransferase;27.9;90.9
PF3D7_0512800;PF3D7_0512800.1;conserved Plasmodium protein, unknown function;15.7;56.6
PF3D7_0512900;PF3D7_0512900.1;AKAP-like protein;15;56.9
PF3D7_0513000;PF3D7_0513000.1;conserved protein, unknown function;40;71.6
PF3D7_0513100;PF3D7_0513100.1;conserved protein, unknown function;48.8;86.9
PF3D7_0513200;PF3D7_0513200.1;conserved Plasmodium protein, unknown function;64.5;80.3
PF3D7_0513300;PF3D7_0513300.1;purine nucleoside phosphorylase;70.1;98.6
PF3D7_0513400;PF3D7_0513400.1;GTP-binding protein, putative;18;53.5
PF3D7_0513500;PF3D7_0513500.1;mitochondrial import inner membrane translocase subunit TIM16, putative;27.5;74.6
PF3D7_0513600;PF3D7_0513600.1;deoxyribodipyrimidine photo-lyase, putative;50.9;91.6
PF3D7_0513700;PF3D7_0513700.1;secreted ookinete protein, putative;26;49.4
PF3D7_0513800;PF3D7_0513800.1;ras-related protein Rab-1A;38.3;93.7
PF3D7_0513900;PF3D7_0513900.1;conserved protein, unknown function;12;42.3
PF3D7_0514000;PF3D7_0514000.1;tubulin--tyrosine ligase, putative;20.6;31.5
PF3D7_0514100;PF3D7_0514100.1;ATP-dependent DNA helicase UvrD;22.4;55
PF3D7_0514200;PF3D7_0514200.1;conserved Plasmodium protein, unknown function;38;64.9
PF3D7_0514300;PF3D7_0514300.1;aspartate--tRNA ligase, putative;26;62.2
PF3D7_0514400;PF3D7_0514400.1;tRNA Phenylalanine;0;6.4
PF3D7_0514500;PF3D7_0514500.1;conserved Plasmodium membrane protein, unknown function;19;46.9
PF3D7_0514600;PF3D7_0514600.1;ribose-5-phosphate isomerase, putative;25.6;67.4
PF3D7_0514700;PF3D7_0514700.1;MORN repeat protein, putative;8;13
PF3D7_0514800;PF3D7_0514800.1;inositol polyphosphate multikinase, putative;24.1;54
PF3D7_0514900;PF3D7_0514900.1;conserved Plasmodium protein, unknown function;49.2;65.4
PF3D7_0515000;PF3D7_0515000.1;pre-mRNA-splicing factor CWC2, putative;76.1;88.3
PF3D7_0515100;PF3D7_0515100.1;rhomboid protease ROM9;16.8;55.4
PF3D7_0515200;PF3D7_0515200.1;conserved Plasmodium protein, unknown function;26.9;56.8
PF3D7_0515300;PF3D7_0515300.1;phosphatidylinositol 3-kinase;43.9;65.9
PF3D7_0515400;PF3D7_0515400.1;conserved protein, unknown function;18.8;87.3
PF3D7_0515500;PF3D7_0515500.1;amino acid transporter, putative;12.3;22.5
PF3D7_0515600;PF3D7_0515600.1;conserved Plasmodium protein, unknown function;15.1;38.1
PF3D7_0515700;PF3D7_0515700.1;glideosome-associated protein 40, putative;34.2;99
PF3D7_0515800;PF3D7_0515800.1;BolA-like protein, putative;41.2;63.8
PF3D7_0515900;PF3D7_0515900.1;NLI interacting factor-like phosphatase, putative;26.6;49.9
PF3D7_0516000;PF3D7_0516000.1;RAP protein, putative;25.9;71.4
PF3D7_0516100;PF3D7_0516100.1;cation-transporting ATPase 1;14.6;34.8
PF3D7_0516200;PF3D7_0516200.1;40S ribosomal protein S11;84.6;96.8
PF3D7_0516300;PF3D7_0516300.1;tRNA pseudouridine synthase, putative;21.7;69
PF3D7_0516400;PF3D7_0516400.1;phosducin-like protein 1, putative;53;73.5
PF3D7_0516500;PF3D7_0516500.1;major facilitator superfamily domain-containing protein, putative;14.7;35.5
PF3D7_0516600;PF3D7_0516600.1;sporozoite surface antigen MB2;43.3;67.5
PF3D7_0516700;PF3D7_0516700.1;ubiquitin carboxyl-terminal hydrolase 2, putative;60.9;80.1
PF3D7_0516800;PF3D7_0516800.1;AP2 domain transcription factor AP2-O2, putative;30.2;90
PF3D7_0516900;PF3D7_0516900.1;60S ribosomal protein L2;84.7;97.8
PF3D7_0517000;PF3D7_0517000.1;60S ribosomal protein L12, putative;88.7;98.2
PF3D7_0517100;PF3D7_0517100.1;conserved protein, unknown function;35.7;66.1
PF3D7_0517200;PF3D7_0517200.1;conserved Plasmodium protein, unknown function;20.6;58.7
PF3D7_0517300;PF3D7_0517300.1;serine/arginine-rich splicing factor 1;92.4;97.7
PF3D7_0517400;PF3D7_0517400.1;FACT complex subunit SPT16, putative;51.3;89.9
PF3D7_0517500;PF3D7_0517500.1;UTP--glucose-1-phosphate uridylyltransferase, putative;12.5;41.1
PF3D7_0517600;PF3D7_0517600.1;F-actin-capping protein subunit beta, putative;14;45
PF3D7_0517700;PF3D7_0517700.1;eukaryotic translation initiation factor 3 subunit B, putative;76.4;93.7
PF3D7_0517800;PF3D7_0517800.1;apicortin, putative;14.1;38.9
PF3D7_0517900;PF3D7_0517900.1;zinc finger protein, putative;22.9;79.8
PF3D7_0518000;PF3D7_0518000.1;NOSIP domain-containing protein, putative;45.9;73.1
PF3D7_0518100;PF3D7_0518100.1;protein AMR2;17.1;55.8
PF3D7_0518200;PF3D7_0518200.1;SWIB/MDM2 domain-containing protein;46.4;97.7
PF3D7_0518300;PF3D7_0518300.1;proteasome subunit beta type-1, putative;67.6;95.6
PF3D7_0518400;PF3D7_0518400.1;cyclin, putative;10.8;36.2
PF3D7_0518500;PF3D7_0518500.1;ATP-dependent RNA helicase DDX23, putative;59.7;77.8
PF3D7_0518600;PF3D7_0518600.1;WD repeat-containing protein 26, putative;26.1;67.2
PF3D7_0518700;PF3D7_0518700.1;mRNA-binding protein PUF1;21.3;54.7
PF3D7_0518800;PF3D7_0518800.1;secreted ookinete protein, putative;16;45.6
PF3D7_0518900;PF3D7_0518900.1;conserved protein, unknown function;0;21.2
PF3D7_0519000;PF3D7_0519000.1;histone RNA hairpin-binding protein, putative;23.9;66.4
PF3D7_0519100;PF3D7_0519100.1;50S ribosomal protein L14, mitochondrial, putative;33.1;91.3
PF3D7_0519200;PF3D7_0519200.1;V-type proton ATPase 16 kDa proteolipid subunit;92;98.5
PF3D7_0519300;PF3D7_0519300.1;protoheme IX farnesyltransferase, putative;21.9;56.9
PF3D7_0519400;PF3D7_0519400.1;40S ribosomal protein S24;95.1;99.4
PF3D7_0519500;PF3D7_0519500.1;CCR4 domain-containing protein 1, putative;43;85.1
PF3D7_0519600;PF3D7_0519600.1;zinc finger protein, putative;57.7;81
PF3D7_0519700;PF3D7_0519700.1;FoP domain-containing protein, putative;93;96.8
PF3D7_0519800;PF3D7_0519800.1;EELM2 domain-containing protein, putative;68.7;89.2
PF3D7_0519900;PF3D7_0519900.1;conserved protein, unknown function;26.2;54.6
PF3D7_0520000;PF3D7_0520000.1;40S ribosomal protein S9, putative;92.7;98.9
PF3D7_0520100;PF3D7_0520100.1;protein phosphatase PPM9, putative;29.4;73
PF3D7_0520200;PF3D7_0520200.1;mediator of RNA polymerase II transcription subunit 17, putative;33.7;76.4
PF3D7_0520300;PF3D7_0520300.1;U6 snRNA-associated Sm-like protein LSm2, putative;52.8;86.5
PF3D7_0520400;PF3D7_0520400.1;single-stranded DNA-binding protein, putative;44.2;78.8
PF3D7_0520500;PF3D7_0520500.1;phosphomethylpyrimidine kinase, putative;31;59.8
PF3D7_0520600;PF3D7_0520600.1;bis(5'-nucleosyl)-tetraphosphatase [asymmetrical];57.6;95.7
PF3D7_0520700;PF3D7_0520700.1;CDC73 domain-containing protein, putative;31.6;60.8
PF3D7_0520800;PF3D7_0520800.1;conserved protein, unknown function;35;69.2
PF3D7_0520900;PF3D7_0520900.1;adenosylhomocysteinase;86.3;97.4
PF3D7_0521000;PF3D7_0521000.1;conserved Plasmodium protein, unknown function;52.4;90.6
PF3D7_0521100;PF3D7_0521100.1;conserved Plasmodium protein, unknown function;7.3;18
PF3D7_0521200;PF3D7_0521200.1;conserved protein, unknown function;13.4;27.4
PF3D7_0521300;PF3D7_0521300.1;zinc finger protein, putative;50.2;71.9
PF3D7_0521400;PF3D7_0521400.1;conserved protein, unknown function;17.8;64
PF3D7_0521500;PF3D7_0521500.1;ribosomal large subunit pseudouridylate synthase, putative;18.7;49.8
PF3D7_0521600;PF3D7_0521600.1;conserved Plasmodium protein, unknown function;25.2;63.4
PF3D7_0521700;PF3D7_0521700.1;ATP-dependent RNA helicase DDX1, putative;24.3;56.8
PF3D7_0521800;PF3D7_0521800.1;AFG1-like ATPase, putative;19.9;36
PF3D7_0521900;PF3D7_0521900.1;conserved Plasmodium protein, unknown function;20.2;49.2
PF3D7_0522000;PF3D7_0522000.1;conserved Plasmodium protein, unknown function;69.1;92.5
PF3D7_0522100;PF3D7_0522100.1;conserved Plasmodium protein, unknown function;25.6;73.1
PF3D7_0522200;PF3D7_0522200.1;transcription initiation factor TFIID subunit 10, putative;69.4;82.5
PF3D7_0522300;PF3D7_0522300.1;18S rRNA (guanine-N(7))-methyltransferase, putative;38.6;84.7
PF3D7_0522400;PF3D7_0522400.1;conserved Plasmodium protein, unknown function;16;75
PF3D7_0522500;PF3D7_0522500.1;50S ribosomal protein L17, apicoplast, putative;14.6;68.9
PF3D7_0522600;PF3D7_0522600.1;inner membrane complex protein;9.8;86.2
PF3D7_0522700;PF3D7_0522700.1;iron-sulfur assembly protein;0;60.1
PF3D7_0522800;PF3D7_0522800.1;pre-mRNA-splicing factor BUD31, putative;43.1;77.7
PF3D7_0522900;PF3D7_0522900.1;zinc finger protein, putative;14.6;43.7
PF3D7_0523000;PF3D7_0523000.1;multidrug resistance protein 1;60.1;95.3
PF3D7_0523100;PF3D7_0523100.1;mitochondrial-processing peptidase subunit alpha, putative;40;72.8
PF3D7_0523200;PF3D7_0523200.1;heptatricopeptide repeat-containing protein, putative;23.2;54.8
PF3D7_0523300;PF3D7_0523300.1;cytochrome c oxidase subunit ApiCOX18, putative;22.4;70.8
PF3D7_0523400;PF3D7_0523400.1;DnaJ protein, putative;67.4;81.8
PF3D7_0523500;PF3D7_0523500.1;dynein light chain Tctex-type, putative;22.2;39.4
PF3D7_0523600;PF3D7_0523600.1;conserved protein, unknown function;27.9;74.5
PF3D7_0523700;PF3D7_0523700.1;conserved Plasmodium membrane protein, unknown function;16.4;38.2
PF3D7_0523800;PF3D7_0523800.1;divalent metal transporter, putative;37.9;77.9
PF3D7_0523900;PF3D7_0523900.1;MerC domain-containing protein, putative;34.6;73.4
PF3D7_0524000;PF3D7_0524000.1;karyopherin beta;94.2;97.1
PF3D7_0524100;PF3D7_0524100.1;conserved Plasmodium protein, unknown function;52.5;85.7
PF3D7_0524200;PF3D7_0524200.1;conserved Plasmodium membrane protein, unknown function;8.9;33.1
PF3D7_0524300;PF3D7_0524300.1;conserved Plasmodium protein, unknown function;56.2;84.2
PF3D7_0524400;PF3D7_0524400.1;ribosome-interacting GTPase 1, putative;50.9;83
PF3D7_0524500;PF3D7_0524500.1;conserved Plasmodium protein, unknown function;50.6;68.8
PF3D7_0524600;PF3D7_0524600.1;50S ribosomal protein L12, apicoplast, putative;45.7;89.7
PF3D7_0524700;PF3D7_0524700.1;mitochondrial import receptor subunit TOM22, putative;35.7;82.7
PF3D7_0524800;PF3D7_0524800.1;ubiquitin fusion degradation protein 1, putative;27.9;67.1
PF3D7_0524900;PF3D7_0524900.1;S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative;27.3;75.9
PF3D7_0525000;PF3D7_0525000.1;zinc finger protein, putative;24.4;66.5
PF3D7_0525100;PF3D7_0525100.1;acyl-CoA synthetase;89.8;97.5
PF3D7_0525200;PF3D7_0525200.1;structural maintenance of chromosomes protein 6, putative;51.4;84.4
PF3D7_0525300;PF3D7_0525300.1;conserved protein, unknown function;15.9;73.8
PF3D7_0525400;PF3D7_0525400.1;7-helix-1 protein;14.3;62.2
PF3D7_0525500;PF3D7_0525500.1;WD repeat-containing protein, putative;21.8;68.2
PF3D7_0525600;PF3D7_0525600.1;RNA methyltransferase, putative;23.7;50.8
PF3D7_0525700;PF3D7_0525700.1;conserved protein, unknown function;9.8;55.8
PF3D7_0525800;PF3D7_0525800.1;inner membrane complex protein 1g, putative;21.2;99.3
PF3D7_0525900;PF3D7_0525900.1;NIMA related kinase 2;8.8;42.5
PF3D7_0526000;PF3D7_0526000.1;RAP protein, putative;17.1;51.7
PF3D7_0526100;PF3D7_0526100.1;conserved Plasmodium membrane protein, unknown function;17.1;51.4
PF3D7_0526200;PF3D7_0526200.1;ADP-ribosylation factor GTPase-activating protein, putative;32.2;78.5
PF3D7_0526200;PF3D7_0526200.2;ADP-ribosylation factor GTPase-activating protein, putative;32.2;78.5
PF3D7_0526300;PF3D7_0526300.1;WD repeat-containing protein 55, putative;37.1;74.1
PF3D7_0526400;PF3D7_0526400.1;conserved Plasmodium protein, unknown function;29.3;61.5
PF3D7_0526500;PF3D7_0526500.1;conserved Plasmodium protein, unknown function;63.7;83.1
PF3D7_0526600;PF3D7_0526600.1;conserved Plasmodium protein, unknown function;16.8;34.8
PF3D7_0526700;PF3D7_0526700.1;conserved protein, unknown function;35.8;70.1
PF3D7_0526800;PF3D7_0526800.1;conserved Plasmodium protein, unknown function;62.5;89.8
PF3D7_0526900;PF3D7_0526900.1;transmembrane emp24 domain-containing protein, putative;80.4;95.3
PF3D7_0527000;PF3D7_0527000.1;DNA replication licensing factor MCM3, putative;45.1;96.8
PF3D7_0527100;PF3D7_0527100.1;ubiquitin-conjugating enzyme E2 N, putative;86.6;95.6
PF3D7_0527200;PF3D7_0527200.1;ubiquitin carboxyl-terminal hydrolase 14;80.2;94.3
PF3D7_0527300;PF3D7_0527300.1;methionine aminopeptidase 1a, putative;62.8;83.6
PF3D7_0527400;PF3D7_0527400.1;conserved Plasmodium protein, unknown function;59.1;91.8
PF3D7_0527500;PF3D7_0527500.1;Hsc70-interacting protein;91.3;97.7
PF3D7_0527600;PF3D7_0527600.1;conserved Plasmodium protein, unknown function;51.1;71.9
PF3D7_0527700;PF3D7_0527700.1;tRNA Glutamic acid;0;15.5
PF3D7_0527800;PF3D7_0527800.1;tRNA Leucine;0;12.7
PF3D7_0527900;PF3D7_0527900.1;ATP-dependent RNA helicase DDX41, putative;47.7;75.7
PF3D7_0528000;PF3D7_0528000.1;proteasome maturation factor UMP1, putative;84.6;97.7
PF3D7_0528100;PF3D7_0528100.1;AP-1 complex subunit beta, putative;75.1;79
PF3D7_0528200;PF3D7_0528200.1;eukaryotic translation initiation factor 3 subunit E, putative;85;94.5
PF3D7_0528300;PF3D7_0528300.1;conserved protein, unknown function;5.5;68.3
PF3D7_0528400;PF3D7_0528400.1;palmitoyltransferase DHHC7;14.5;95.2
PF3D7_0528500;PF3D7_0528500.1;F-actin-capping protein subunit alpha, putative;20;57.8
PF3D7_0528600;PF3D7_0528600.1;conserved Plasmodium protein, unknown function;78.9;89.1
PF3D7_0528700;PF3D7_0528700.1;peptidyl-prolyl cis-trans isomerase;60.8;81.2
PF3D7_0528800;PF3D7_0528800.1;nucleolar preribosomal GTPase, putative;30.1;76.5
PF3D7_0528900;PF3D7_0528900.1;conserved protein, unknown function;17.5;50
PF3D7_0529000;PF3D7_0529000.1;conserved Plasmodium protein, unknown function;67.4;78.6
PF3D7_0529100;PF3D7_0529100.1;thioredoxin-like protein, putative;25.7;70.6
PF3D7_0529200;PF3D7_0529200.1;sugar transporter, putative;10.8;32.5
PF3D7_0529300;PF3D7_0529300.1;apicoplast TIC22 protein;23.5;51.2
PF3D7_0529400;PF3D7_0529400.1;conserved Plasmodium protein, unknown function;48.1;94.3
PF3D7_0529400;PF3D7_0529400.2;conserved Plasmodium protein, unknown function;48.1;94.3
PF3D7_0529500;PF3D7_0529500.1;cell cycle regulator protein, putative;42.9;73.4
PF3D7_0529600;PF3D7_0529600.1;tRNA Arginine;0;11.8
PF3D7_0529700;PF3D7_0529700.1;heptatricopeptide repeat-containing protein, putative;14.3;41.8
PF3D7_0529800;PF3D7_0529800.1;conserved Plasmodium protein, unknown function;43.1;86.5
PF3D7_0529900;PF3D7_0529900.1;RING zinc finger protein, putative;81.9;90.3
PF3D7_0530000;PF3D7_0530000.1;conserved Plasmodium protein, unknown function;72.6;92.3
PF3D7_0530100;PF3D7_0530100.1;SNARE protein, putative;64;92.6
PF3D7_0530200;PF3D7_0530200.1;phosphoenolpyruvate/phosphate translocator;21;72.1
PF3D7_0530300;PF3D7_0530300.1;conserved Plasmodium membrane protein, unknown function;21.9;80.4
PF3D7_0530400;PF3D7_0530400.1;conserved Plasmodium protein, unknown function;8.6;33.7
PF3D7_0530500;PF3D7_0530500.1;conserved Plasmodium membrane protein, unknown function;6.2;15.6
PF3D7_0530600;PF3D7_0530600.1;XAP-5 DNA binding protein, putative;51.2;77.1
PF3D7_0530700;PF3D7_0530700.1;conserved Plasmodium protein, unknown function;21.9;63.6
PF3D7_0530750;PF3D7_0530750.1;dolichol-phosphate mannosyltransferase subunit 3, putative;20.5;38.6
PF3D7_0530800;PF3D7_0530800.1;CPW-WPC family protein;19;44.8
PF3D7_0530900;PF3D7_0530900.1;formin 1;10.2;62.8
PF3D7_0531000;PF3D7_0531000.1;SURF1 domain-containing protein, putative;47.5;59.8
PF3D7_0531100;PF3D7_0531100.1;conserved Plasmodium protein, unknown function;15;54.5
PF3D7_0531200;PF3D7_0531200.1;ribosomal protein S16, mitochondrial, putative;15.7;36.4
PF3D7_0531300;PF3D7_0531300.1;conserved Plasmodium protein, unknown function;31.4;67
PF3D7_0531400;PF3D7_0531400.1;conserved Plasmodium protein, unknown function;29.1;62.5
PF3D7_0531500;PF3D7_0531500.1;unspecified product;7.2;18.6
PF3D7_0532100;PF3D7_0532100.1;early transcribed membrane protein 5;96.5;100
PF3D7_0532200;PF3D7_0532200.1;Plasmodium exported protein (PHISTc), unknown function;32;48
PF3D7_0532300;PF3D7_0532300.1;Plasmodium exported protein (PHISTb), unknown function;37.3;96.9
PF3D7_0532400;PF3D7_0532400.1;lysine-rich membrane-associated PHISTb protein;56.7;97.6
PF3D7_0532500;PF3D7_0532500.1;Plasmodium exported protein, unknown function;8.9;61.3
PF3D7_0532600;PF3D7_0532600.1;Plasmodium exported protein, unknown function;13.8;95.7
PF3D7_0532700;PF3D7_0532700.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;0;11.8
PF3D7_0532800;PF3D7_0532800.1;stevor, pseudogene;8.5;54.5
PF3D7_0532900;PF3D7_0532900.1;rifin;0;11.9
PF3D7_0533000;PF3D7_0533000.1;rifin, pseudogene;6.4;24.3
PF3D7_0533100;PF3D7_0533100.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;15;37.8
PF3D7_0600100;PF3D7_0600100.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;0;7.6
PF3D7_0600200;PF3D7_0600200.1;erythrocyte membrane protein 1, PfEMP1;3.6;9
PF3D7_0600300;PF3D7_0600300.1;rifin;5.9;15.2
PF3D7_0600400;PF3D7_0600400.1;erythrocyte membrane protein 1, PfEMP1;0;6.4
PF3D7_0600500;PF3D7_0600500.1;rifin;0;6.1
PF3D7_0600600;PF3D7_0600600.1;erythrocyte membrane protein 1 (PfEMP1), exon 2;0;7.3
PF3D7_0600700;PF3D7_0600700.1;rifin;0;8.2
PF3D7_0600800;PF3D7_0600800.1;rifin, pseudogene;0;9.9
PF3D7_0600900;PF3D7_0600900.1;rifin, pseudogene;3.2;19.8
PF3D7_0601000;PF3D7_0601000.1;exported protein family 4;0;11.4
PF3D7_0601100;PF3D7_0601100.1;exported protein family 3;2.1;39.9
PF3D7_0601200;PF3D7_0601200.1;Pfmc-2TM Maurer's cleft two transmembrane protein;4.8;56.1
PF3D7_0601300;PF3D7_0601300.1;exported protein family 1;0;0
PF3D7_0601400;PF3D7_0601400.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;0;6.5
PF3D7_0601500;PF3D7_0601500.1;Plasmodium exported protein (PHISTb), unknown function;9.7;73.7
PF3D7_0601600;PF3D7_0601600.1;tetratricopeptide repeat protein, putative;11.3;47.1
PF3D7_0601700;PF3D7_0601700.1;Plasmodium exported protein (PHISTa), unknown function, pseudogene;13;73.3
PF3D7_0601800;PF3D7_0601800.1;H/ACA snoRNA;0;38.6
PF3D7_0601900;PF3D7_0601900.1;conserved Plasmodium protein, unknown function;44.2;95.6
PF3D7_0602000;PF3D7_0602000.1;zinc finger protein, putative;40.8;47.2
PF3D7_0602100;PF3D7_0602100.1;ATP-dependent RNA helicase, putative;31.5;83.6
PF3D7_0602200;PF3D7_0602200.1;MYND-type zinc finger protein, putative;32.3;87.1
PF3D7_0602300;PF3D7_0602300.1;liver merozoite formation protein, putative;7.1;21.3
PF3D7_0602400;PF3D7_0602400.1;elongation factor G;25.6;74.2
PF3D7_0602500;PF3D7_0602500.1;geranylgeranyl transferase type-2 subunit beta, putative;19.1;61.5
PF3D7_0602600;PF3D7_0602600.1;SAC3 domain-containing protein, putative;46.6;71.3
PF3D7_0602700;PF3D7_0602700.1;conserved Plasmodium protein, unknown function;15.4;49.3
PF3D7_0602800;PF3D7_0602800.1;JmjC domain-containing protein, putative;16.8;60.9
PF3D7_0602900;PF3D7_0602900.1;conserved Plasmodium protein, unknown function;48.9;84
PF3D7_0603000;PF3D7_0603000.1;conserved Plasmodium protein, unknown function;57.4;76.1
PF3D7_0603100;PF3D7_0603100.1;RNA-binding protein, putative;18;48.9
PF3D7_0603200;PF3D7_0603200.1;mitochondrial chaperone BCS1, putative;12.5;73.9
PF3D7_0603300;PF3D7_0603300.1;dihydroorotate dehydrogenase;23.4;83.8
PF3D7_0603400;PF3D7_0603400.1;trophozoite exported protein 1;59.7;85.4
PF3D7_0603500;PF3D7_0603500.1;cation/H+ antiporter;20;67.9
PF3D7_0603600;PF3D7_0603600.1;conserved Plasmodium protein, unknown function;17.8;54.4
PF3D7_0603700;PF3D7_0603700.1;phenylalanine--tRNA ligase;9.9;38.9
PF3D7_0603800;PF3D7_0603800.1;centrosomal protein CEP76, putative;18.4;72.2
PF3D7_0603900;PF3D7_0603900.1;conserved Plasmodium protein, unknown function;20.6;33
PF3D7_0604000;PF3D7_0604000.1;conserved Plasmodium protein, unknown function;11.2;32.8
PF3D7_0604100;PF3D7_0604100.1;AP2 domain transcription factor;15.7;94.1
PF3D7_0604200;PF3D7_0604200.1;mitochondrial ribosomal protein L41, putative;11.2;60.9
PF3D7_0604300;PF3D7_0604300.1;conserved Plasmodium protein, unknown function;38.1;60.4
PF3D7_0604400;PF3D7_0604400.1;conserved protein, unknown function;36.4;52.5
PF3D7_0604500;PF3D7_0604500.1;conserved Plasmodium protein, unknown function;93.9;96.2
PF3D7_0604600;PF3D7_0604600.1;DNA helicase, putative;16.6;28.1
PF3D7_0604700;PF3D7_0604700.1;glyoxalase I-like protein GILP;30.5;83
PF3D7_0604800;PF3D7_0604800.1;RAP protein, putative;10.6;48.8
PF3D7_0604900;PF3D7_0604900.1;conserved Plasmodium protein, unknown function;20.2;65
PF3D7_0605000;PF3D7_0605000.1;50S ribosomal protein L24, putative;25.5;74.2
PF3D7_0605100;PF3D7_0605100.1;RNA-binding protein, putative;61.5;73
PF3D7_0605200;PF3D7_0605200.1;conserved protein, unknown function;21.6;75.4
PF3D7_0605300;PF3D7_0605300.1;serine/threonine protein kinase;26.2;48.2
PF3D7_0605400;PF3D7_0605400.1;calcium-binding protein, putative;31.9;74
PF3D7_0605500;PF3D7_0605500.1;cyclin dependent kinase binding protein, putative;10;56.3
PF3D7_0605600;PF3D7_0605600.1;nucleoside diphosphate kinase, putative;13;35
PF3D7_0605700;PF3D7_0605700.1;conserved Plasmodium protein, unknown function;0;25.7
PF3D7_0605800;PF3D7_0605800.1;DNA repair protein RAD50, putative;47.6;77.9
PF3D7_0605900;PF3D7_0605900.1;long chain polyunsaturated fatty acid elongation enzyme, putative;36.4;97.2
PF3D7_0606000;PF3D7_0606000.1;conserved Plasmodium protein, unknown function;59.6;92.4
PF3D7_0606100;PF3D7_0606100.1;RNA-binding protein, putative;76.3;93.3
PF3D7_0606200;PF3D7_0606200.1;ubiquitin-conjugating enzyme E2 PEX4, putative;67;87.9
PF3D7_0606300;PF3D7_0606300.1;conserved Plasmodium protein, unknown function;8.3;41.1
PF3D7_0606400;PF3D7_0606400.1;conserved Plasmodium protein, unknown function;21;59.4
PF3D7_0606500;PF3D7_0606500.1;polypyrimidine tract-binding protein, putative;52.9;84.8
PF3D7_0606600;PF3D7_0606600.1;conserved Plasmodium protein, unknown function;49;87.3
PF3D7_0606700;PF3D7_0606700.1;coatomer alpha subunit, putative;73.9;83.9
PF3D7_0606800;PF3D7_0606800.1;VFT protein;27.3;88.2
PF3D7_0606900;PF3D7_0606900.1;glutaredoxin-like protein;66.7;87.6
PF3D7_0607000;PF3D7_0607000.1;translation initiation factor IF-2, putative;92.6;96.5
PF3D7_0607100;PF3D7_0607100.1;MYND-type zinc finger protein, putative;12.9;30.3
PF3D7_0607200;PF3D7_0607200.1;RING zinc finger protein, putative;26.1;70
PF3D7_0607300;PF3D7_0607300.1;uroporphyrinogen III decarboxylase;19.9;45.7
PF3D7_0607400;PF3D7_0607400.1;G-protein associated signal transduction protein, putative;46.6;76.5
